prior_phase,metric,value,source_file,found_status,interpretation
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"# Phase 5_2C Causal Pipeline Design Status: diagnostic mechanistic reference design, not a final detector and not Brian2. Architecture: hybrid early-warning. Baseline-ratio features may bias"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"# Phase 5_2C Architectural Target Reassessment The accepted Stage B architecture remains `hybrid_early_warning`, but the event-target evidence no longer supports treating current low-FP discr"
Phase 5_2B,Phase 5_2B AUROC/subset,0.295,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"gnostic context. The compact burden estimator summary reports best Pearson correlation about 0.295 and best high-burden AUROC about 0.749. The Phase 5Z closeout did not justify deployment, but it supports treating burden/state tracking as a serious target question rather than ignoring it. ## Recommendat"
burden pivot,burden pivot ADR,0.10,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"| | OPTION_C_REOPEN_ADR_BURDEN_STATE | Reopen Stage B ADR toward burden/state tracking | True | diagnostic score-ranking ceiling from deployable score sources remains below 0.10 recall at FP/min 2.0, indicating low-FP discrete"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"racking, and one-alarm-per-burst behavior. The controlled-FP columns are strict: if no threshold reaches the requested FP/min cap, the controlled recall/F1 is zero and the row records that the FP constraint was not satisfied. Best-F1 columns remain useful diagnostics but are not deployable acceptance evi"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"burden, long-burst state machines, and hybrid burden/alarm signals. Excluded: - Phase 3 relabeling. - MEG. - Phase 6 LOSO. - DYNAP-SE1 hardware deployment. - Generic CNN/RNN/Transformer final detectors. ## How To Reproduce The production runner is resume-safe and writes manifests, status JSON, tabl"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Burden/State Ceiling Comparison Burden/state targets are derived from frozen Phase 3 labels for evaluation only. Phase 3 labels and thresholds are not used as input features. Pri
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,| window_s | score_source | deployability_class | pearson_correlation | high_burden_AUROC | high_burden_AUPRC | per_subject_metric_median | |:---------------------------------------|-----------:|:---------------------------------------|:-----------------------|----
burden pivot,burden pivot ADR,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Burden/State Ceiling Comparison Burden/state targets are derived from frozen Phase 3 labels for evaluation only. Phase 3 labels and thresholds are not used as input features. Prior Phase 5Z e
Phase 5_2C,Phase 5_2C event recall / FP-min,0.834,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"five usable `sub-0cGdk9 MedOff_Hold fixed_13_30` channels. - D1 dense teacher: AUC ~0.834, PR-AUC ~0.287, recall at <=1 FP/min 0.0, best event F1 ~0.342 at high FP/min. - D2 constrained spiking eventizer: CAM/fan-in OK (`20/64` CAM slots), recall at <=1 FP/min ~0.051, best event F1 ~0.089. - D3-D6 wer"
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"eneration runs under SLURM, not on the login node. - Teacher models are diagnostic upper bounds only. - No MEG, Phase 6 LOSO, DYNAP-SE1 hardware deployment, or generic black-box final detector is part of this stage. ## Closeout Outcome 1: dense traces information-limited under the tested causal teac"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Event Scoring Target ADR Status: accepted_for_stage_f_event_reporting Date: 2026-04-27 Git commit: `554b970aa75dd0f68b1e2c397cb7ed33383ebcf6` ## Decision Explicit project targe
Phase 5_2B,Phase 5_2B AUROC/subset,0.5,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"2C event-level recall target/gate was found. Stage F will report FP/min grid metrics at 0.5, 1.0, 2.0, and 5.0 FP/min, AUROC/AUPRC as secondary diagnostics, latency relative to Phase 3 onset, early-warning candidate latency separately, and one-alarm-per-burst fraction. Negative latency is reported as e"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"# Phase 5_2C Event Detection Limitation Analysis This analysis tests whether low Stage F event recall is likely a scorer anomaly, alarm-reconstruction limitation, or information limitation. I"
Phase 5_2B,Phase 5_2B AUROC/subset,1.0,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,"mitation, or information limitation. It uses causal Stage F scores and event structure; it does not infer ceilings from AUROC alone. ## Tier 1 / Tier 2 FP/min 1.0 Anomaly | tier | event_recall | achieved_fp_per_min | threshold | tie_count_at_threshold | anomaly_clas"
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Stage G/H/I Execution Plan Status: plan only. Stage G/H/I were not executed. Final task state for this readiness branch: `readiness_not_execute_plan_only`. ## Readiness Row `r
Phase 5_2B,Phase 5_2B AUROC/subset,0.7490318279546455,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,5` - `causal_rise_slope__h100__smooth10ms__p85` Stage D subset metrics from `causal_minimum_sufficient_subset.tsv`: - LOSO AUROC: `0.7490318279546455` - LOSO AUPRC: `0.6346940773803722` - per-subject IQR AUROC: `0.040531987479782705` - subset_has_dynamic_confirmation: `True` - baseline_ratio_alone_for
Phase 5_2C,Phase 5_2C event recall / FP-min,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,# Phase 5_2C Pre-ADR Bounded Remediation Analysis Status: bounded analysis complete. The formal architecture ADR was not reopened. Stage G/H/I were not executed. Brian2 was not run. ## Owner
Phase 5_2B,Phase 5_2B AUROC/subset,not_numeric_in_excerpt,reports/phase6a0_burden_viability/prior_phase_comparison.csv,found_phase6a0_prior_row,| window_s | score_source | deployability_class | pearson_correlation | high_burden_AUROC | high_burden_AUPRC | per_subject_metric_median | |:---------------------------------------|-----------:|:---------------------------------------|:-----------------------|----
