noise_condition,case_id,mean_false_alarm_per_min,max_false_alarm_per_min,transient_claim_rate,interpretation
clean,no_burst,0.0,0.0,0.0,Strict negative control.
clean,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
clean,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
input_gaussian_0p02,no_burst,0.0,0.0,0.0,Strict negative control.
input_gaussian_0p02,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
input_gaussian_0p02,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
input_gaussian_0p05,no_burst,0.0,0.0,0.0,Strict negative control.
input_gaussian_0p05,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
input_gaussian_0p05,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
input_gaussian_0p10,no_burst,0.0,0.0,0.0,Strict negative control.
input_gaussian_0p10,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
input_gaussian_0p10,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
gain_noise_0p05,no_burst,0.0,0.0,0.0,Strict negative control.
gain_noise_0p05,power_shift_no_burst,0.42857142857142855,42.857142857142854,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
gain_noise_0p05,sustained_only,0.0,0.0,0.99,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
slow_drift_0p10,no_burst,0.0,0.0,0.0,Strict negative control.
slow_drift_0p10,power_shift_no_burst,2.142857142857143,42.857142857142854,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
slow_drift_0p10,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
colored_1f_0p05,no_burst,0.0,0.0,0.0,Strict negative control.
colored_1f_0p05,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
colored_1f_0p05,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
line_50hz_0p05,no_burst,0.0,0.0,0.0,Strict negative control.
line_50hz_0p05,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
line_50hz_0p05,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
event_jitter_5ms,no_burst,0.0,0.0,0.0,Strict negative control.
event_jitter_5ms,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
event_jitter_5ms,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
event_dropout_0p10,no_burst,0.0,0.0,0.0,Strict negative control.
event_dropout_0p10,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
event_dropout_0p10,sustained_only,0.0,0.0,0.9,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
false_spikes_0p02,no_burst,0.0,0.0,0.0,Strict negative control.
false_spikes_0p02,power_shift_no_burst,0.0,0.0,0.0,Power-shift control for Langford-Wilson style false transient-burst detections.
false_spikes_0p02,sustained_only,0.0,0.0,1.0,"May support sustained beta-state tracking, but must not be claimed as transient onset detection."
impulse_artifact_0p25,no_burst,0.0,0.0,0.0,Strict negative control.
